category,question,answer,min,max,funfact,image,datasource,datasourceurl,magnitude,guesses
Tax Time,How much tax did companies pay last year in Australia?,64530000000,1000000,2.00E+14,Test: Companies are not all bad,http://acms.sl.nsw.gov.au/item/itemLarge.aspx?itemID=341471,ATO tax data,https://www.ato.gov.au/About-ATO/Research-and-statistics/In-detail/Tax-statistics/Taxation-statistics-2012-13/?anchor=sum_detailed,logarithimic,"[6,1,1,0,1,0,1,2,1,1,5,8,0,7,2,0,1,1,4,0,4,0,3,5,0,3,0,5,2,7,0,5,4,3,0,3,7,3,0,1,0,1,0,2,0,2,1,0,3,3,1,3,3,0,3,3,4,0,1,0,1,1,0,0,1,6,4,3,3,0,6,0,5,2,0,1,2,4,1,1,1,0,0,4,3,0,0,7,3,3,1,4,5,0,1,1,5,0,0,1]"
Tax Time,How much tax did individuals pay last year in Australia?,1.55E+11,1000000,1.00E+14,,,ATO tax data,https://www.ato.gov.au/About-ATO/Research-and-statistics/In-detail/Tax-statistics/Taxation-statistics-2012-13/?anchor=sum_detailed,logarithimic,"[1,5,0,3,0,1,0,0,4,0,2,5,0,0,2,2,2,2,1,1,4,1,7,0,2,0,2,0,0,0,0,1,0,1,0,2,3,6,4,3,7,0,1,3,7,2,2,1,2,0,2,5,5,2,1,7,0,0,3,1,1,2,3,4,0,3,3,1,2,4,6,5,5,5,2,5,3,5,0,7,0,2,1,4,6,1,6,0,0,2,5,4,0,0,2,3,6,2,7,2]"
Tax Time,How much tax did super funds pay last year in Australia?,12528000000,1000000,1.00E+14,,,ATO tax data,https://www.ato.gov.au/About-ATO/Research-and-statistics/In-detail/Tax-statistics/Taxation-statistics-2012-13/?anchor=sum_detailed,logarithimic,"[5,0,0,8,1,0,0,6,0,0,1,0,3,6,0,1,0,3,8,0,4,1,3,0,2,0,1,1,0,3,1,0,0,0,0,0,7,0,1,0,5,0,6,0,1,5,1,2,1,0,5,3,1,2,3,0,0,1,7,0,1,7,0,4,0,1,2,0,4,0,6,0,9,7,3,2,1,2,3,4,1,1,1,5,2,2,0,0,0,0,3,6,0,0,0,9,2,2,1,2]"
Tax Time,How many people over 75 did a tax return in 2012-13 in Australia?,430140,100,2000000,,,ATO tax data,https://www.ato.gov.au/About-ATO/Research-and-statistics/In-detail/Tax-statistics/Taxation-statistics-2012-13/?anchor=sum_detailed,logarithimic,"[4,0,0,3,1,3,0,0,1,6,5,0,2,3,2,0,2,2,2,0,1,1,2,4,2,1,2,6,0,0,1,1,0,1,2,0,4,3,3,0,2,0,1,4,4,7,1,1,0,2,7,7,1,0,0,2,4,6,1,6,0,0,0,0,2,0,2,8,0,0,1,2,1,5,5,3,8,1,0,2,1,1,1,3,1,2,1,4,2,1,1,0,0,8,1,4,0,0,0,0]"
Tax Time,How many people under 18 did a tax return in 2012-13 in Australia?,125670,100,2000000,,,ATO tax data,https://www.ato.gov.au/About-ATO/Research-and-statistics/In-detail/Tax-statistics/Taxation-statistics-2012-13/?anchor=sum_detailed,logarithimic,"[0,0,0,4,5,4,0,1,3,0,0,3,1,0,2,0,5,0,0,5,1,0,1,3,1,6,1,1,2,0,0,0,0,1,1,2,3,0,1,0,7,0,0,4,4,1,5,0,1,3,1,0,4,0,0,1,1,0,3,1,3,0,2,2,0,4,3,3,0,5,1,0,3,6,5,3,1,6,1,6,5,0,1,1,2,0,1,1,0,1,3,2,7,0,0,0,1,0,0,0]"
Tax Time,How many Australians earned enough income in 2012-13 to pay tax?,9476960,100000,20000000,,,ATO tax data,https://www.ato.gov.au/About-ATO/Research-and-statistics/In-detail/Tax-statistics/Taxation-statistics-2012-13/?anchor=sum_detailed,logarithimic,"[1,0,1,0,2,5,0,3,1,5,0,5,1,1,4,2,0,1,3,0,0,3,1,0,4,0,1,2,1,0,0,7,3,8,3,1,1,1,2,0,2,2,0,4,7,4,1,0,2,0,2,7,0,0,3,8,2,0,2,1,0,3,1,4,9,1,2,2,2,0,0,0,3,2,2,3,0,6,0,4,6,4,1,4,2,0,4,0,2,5,0,5,3,1,1,4,2,2,3,2]"
Tax Time,How many Australians didn't earn enough income in 2012-13 to pay tax?,3299105,100000,20000000,,,ATO tax data,https://www.ato.gov.au/About-ATO/Research-and-statistics/In-detail/Tax-statistics/Taxation-statistics-2012-13/?anchor=sum_detailed,logarithimic,"[4,0,2,6,7,0,6,8,0,3,3,0,0,3,0,1,1,3,2,0,0,5,2,4,0,0,0,3,0,0,7,4,3,1,1,1,0,3,1,0,2,2,1,0,2,1,0,5,5,6,1,0,6,4,0,6,0,1,3,0,0,4,1,0,1,1,8,3,0,2,7,0,0,4,1,1,2,6,0,6,0,5,0,0,0,1,3,3,1,4,2,0,0,0,0,0,0,1,8,0]"
Tax Time,How many Australians claimed charitable donations in their 2012-13 tax return?,4548810,100000,20000000,,,ATO tax data,https://www.ato.gov.au/About-ATO/Research-and-statistics/In-detail/Tax-statistics/Taxation-statistics-2012-13/?anchor=sum_detailed,logarithimic,"[4,4,2,7,1,5,0,4,0,0,0,4,1,0,2,0,0,1,1,1,2,2,1,0,2,1,2,1,1,0,0,3,2,3,3,6,3,0,2,5,2,5,1,6,1,3,1,0,0,0,0,4,1,0,0,1,4,4,3,0,8,0,3,3,2,1,0,1,0,4,0,2,1,4,1,1,6,3,1,4,0,0,1,0,6,0,3,4,1,1,1,1,3,5,1,0,0,3,2,0]"
Tax Time,How much money did Australians claim as charitable donations in their 2012-13 tax return?,2293000000,100000,2.00E+11,,,ATO tax data,https://www.ato.gov.au/About-ATO/Research-and-statistics/In-detail/Tax-statistics/Taxation-statistics-2012-13/?anchor=sum_detailed,logarithimic,"[0,2,4,3,9,4,1,2,2,3,0,4,0,2,0,0,0,0,0,0,0,0,0,1,3,5,1,0,1,0,0,5,0,5,0,0,1,4,1,7,0,3,0,2,2,5,5,1,5,2,0,4,5,2,4,0,6,0,7,0,4,0,0,8,2,0,4,1,2,0,0,0,3,7,4,0,0,0,0,3,0,1,1,1,1,0,0,4,7,4,6,1,0,7,2,3,1,0,0,2]"
Tax Time,How many Australians had a HELP/HECS debt in 2012-13?,1823290,100000,10000000,,,ATO tax data,https://www.ato.gov.au/About-ATO/Research-and-statistics/In-detail/Tax-statistics/Taxation-statistics-2012-13/?anchor=sum_detailed,logarithimic,"[7,3,1,4,0,1,2,0,2,2,0,0,5,0,1,4,2,4,2,0,4,0,3,2,6,5,0,2,0,0,8,3,3,3,1,6,1,0,1,0,0,1,4,4,0,0,0,0,4,2,0,0,4,2,5,1,0,5,1,0,5,0,6,2,4,0,0,2,1,0,2,9,3,5,2,5,1,6,0,1,0,0,6,0,1,5,4,0,3,2,5,2,0,1,0,5,1,3,1,1]"
Tax Time,How many Australians declared some form of net rental income in 2012-13?,1967260,0,20000000,,,ATO tax data,https://www.ato.gov.au/About-ATO/Research-and-statistics/In-detail/Tax-statistics/Taxation-statistics-2012-13/?anchor=sum_detailed,logarithimic,"[1,1,0,7,2,1,2,9,0,4,2,6,2,3,3,0,3,5,0,1,0,4,0,0,2,6,0,1,7,0,5,0,2,4,0,2,7,0,1,7,0,5,1,8,8,0,0,0,0,2,5,3,1,1,2,4,1,0,3,0,0,2,0,0,4,0,3,4,1,0,2,5,7,2,2,4,2,5,4,2,2,6,2,2,4,2,3,2,0,0,2,0,1,0,1,4,5,1,1,2]"
Prepared for disaster,What proportion of North Brisbane households would have enough drinking water if cut off from services for 3 days?,46,0,100,Test: Storm is coming,http://recordsearch.naa.gov.au/scripts/PhotoSearchItemDetail.asp?M=0&B=11854722&SE=1,Qld Community Preparedness Survey,https://data.qld.gov.au/dataset/qld-community-preparedness-survey-november-2013/resource/949cae0d-34ec-4cec-b666-43b13c18bb06,percentage,"[3,0,4,1,2,4,6,4,0,0,2,1,3,1,4,3,1,0,0,0,1,3,1,5,0,0,1,0,2,7,4,1,0,0,0,0,3,4,2,1,0,1,1,5,0,3,1,0,3,0,1,0,7,0,6,2,0,3,1,0,0,0,2,1,2,0,3,0,1,2,0,2,2,0,1,0,6,6,1,3,1,3,0,3,0,1,0,1,3,0,5,5,0,0,0,0,0,3,6,2]"
Prepared for disaster,What proportion of Far North Queensland households would have enough food if cut off from services for 3 days?,93,0,100,Test: Storm is coming,http://recordsearch.naa.gov.au/scripts/PhotoSearchItemDetail.asp?M=0&B=11854722&SE=1,Qld Community Preparedness Survey,https://data.qld.gov.au/dataset/qld-community-preparedness-survey-november-2013/resource/949cae0d-34ec-4cec-b666-43b13c18bb06,percentage,"[0,0,4,1,0,2,3,5,7,4,1,4,0,2,3,2,1,5,1,1,8,0,2,1,0,4,0,3,0,0,1,1,4,0,1,0,2,4,3,6,3,1,3,1,0,5,2,2,0,0,1,1,1,0,5,1,5,4,1,5,0,0,0,5,0,0,0,7,1,2,3,2,0,0,1,3,2,0,1,2,0,3,0,6,0,3,0,2,0,4,3,3,8,3,1,0,0,3,1,0]"
